Company,Ticker,Sector,Sub-Industry
Eversource,ES,Utilities,Multi-Utilities
Exelixis,EXEL,Health Care,Biotechnology
Exelon,EXC,Utilities,Multi-Utilities
Expedia Group,EXPE,Consumer Discretionary,Internet & Direct Marketing Retail
Expeditors,EXPD,Industrials,Air Freight & Logistics
Extra Space Storage,EXR,Real Estate,Self-Storage REITs
F5,FFIV,Information Technology,Communications Equipment
FactSet,FDS,Financials,Financial Exchanges & Data
Fastenal,FAST,Industrials,Building Products
Federal Realty Investment Trust,FRT,Real Estate,Retail REITs
FICO,FICO,Information Technology,Application Software
Fidelity National Financial,FNF,Financials,
Fifth Third Bancorp,FITB,Financials,Regional Banks
First American,FAF,Financials,Property & Casualty Insurance
First Hawaiian Bank,FHB,Financials,Regional Banks
First Horizon,FHN,Financials,Regional Banks
First Industrial Realty Trust,FR,Real Estate,
First Solar,FSLR,Information Technology,Semiconductors
FirstEnergy,FE,Utilities,Electric Utilities
FIS,FIS,Financials,Transaction & Payment Processing Services
Five Below,FIVE,Consumer Discretionary,Specialty Stores
Five9,FIVN,Information Technology,
Fleetcor,FLT,Financials,Transaction & Payment Processing Services
Floor & Decor,FND,Consumer Discretionary,
Flowers Foods,FLO,Consumer Staples,Packaged Foods & Meats
Flowserve,FLS,Industrials,Industrial Machinery & Supplies & Components
FMC,FMC,Materials,Fertilizers & Agricultural Chemicals
FNB Corporation,FNB,Financials,Regional Banks
Fortinet,FTNT,Information Technology,Systems Software
Fox Corporation (Class A),FOXA,Communication Services,Movies & Entertainment
Fox Corporation (Class B),FOX,Communication Services,Movies & Entertainment
Franklin Templeton,BEN,Financials,Asset Management & Custody Banks
Freeport-McMoRan,FCX,Materials,Copper
Freshpet,FRPT,Consumer Staples,
Frontier Communications,FYBR,Communication Services,
Frost,CFR,Financials,Regional Banks
FTI Consulting,FCN,Industrials,Research & Consulting Services
GameStop,GME,Consumer Discretionary,Computer & Electronics Retail
Gaming and Leisure Properties,GLPI,Real Estate,
Gap,GPS,Consumer Discretionary,Apparel Retail
Gates,GTES,Industrials,
GE,GE,Industrials,Industrial Conglomerates
GE HealthCare,GEHC,Health Care,
Gen Digital,GEN,Information Technology,Application Software
Generac,GNRC,Industrials,Electrical Components & Equipment
General Dynamics,GD,Industrials,Aerospace & Defense
General Motors,GM,Consumer Discretionary,Automobile Manufacturers
Genpact,G,Information Technology,IT Consulting & Other Services
Gentex,GNTX,Consumer Discretionary,Automotive Parts & Equipment
Genuine Parts,GPC,Consumer Discretionary,Specialty Stores
Gilead,GILD,Health Care,Biotechnology
Ginkgo Bioworks,DNA,Materials,
Global Payments,GPN,Financials,Transaction & Payment Processing Services
GlobalFoundries,GFS,Information Technology,
Globe Life,GL,Financials,Life & Health Insurance
Globus Medical,GMED,Health Care,Health Care Equipment
GoDaddy,GDDY,Information Technology,
Grand Canyon Education,LOPE,Consumer Discretionary,Education Services
Graphic Packaging,GPK,Materials,
Grocery Outlet,GO,Consumer Staples,Food Retail
Guidewire,GWRE,Information Technology,
Halliburton,HAL,Energy,Oil & Gas Equipment & Services
Hanesbrands,HBI,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Hanover Insurance,THG,Financials,Property & Casualty Insurance
Harley-Davidson,HOG,Consumer Discretionary,Motorcycle Manufacturers
Hartford (The),HIG,Financials,Property & Casualty Insurance
Hasbro,HAS,Consumer Discretionary,Leisure Products
Hawaiian Electric Industries,HE,Utilities,Electric Utilities
Hayward,HAYW,Industrials,
Healthcare Realty Trust,HR,Real Estate,
Healthpeak,PEAK,Real Estate,Health Care REITs
HEICO (Class A),HEI.A,Industrials,
HEICO (Common),HEI,Industrials,
Jack Henry & Associates,JKHY,Financials,Transaction & Payment Processing Services
Hertz,HTZ,Industrials,
Hess,HES,Energy,Integrated Oil & Gas
Hexcel,HXL,Industrials,Aerospace & Defense
HF Sinclair,DINO,Energy,Oil & Gas Refining & Marketing
Highwoods Properties,HIW,Real Estate,
Hologic,HOLX,Health Care,Health Care Equipment
Home Depot,HD,Consumer Discretionary,Home Improvement Retail
Honeywell,HON,Industrials,Industrial Conglomerates
Horizon,HZNP,Health Care,
Hormel Foods,HRL,Consumer Staples,Packaged Foods & Meats
Host Hotels & Resorts,HST,Real Estate,Hotel & Resort REITs
Howard Hughes Corporation,HHC,Real Estate,
HP Inc.,HPQ,Information Technology,"Technology Hardware, Storage & Peripherals"
HubSpot,HUBS,Information Technology,
Hudson Pacific Properties,HPP,Financials,Office REITs
Humana,HUM,Health Care,Managed Health Care
Huntington,HBAN,Financials,Regional Banks
Huntsman,HUN,Materials,
Hyatt Hotels,H,Consumer Discretionary,
Idacorp,IDA,Utilities,Electric Utilities
IDEX,IEX,Industrials,Industrial Machinery & Supplies & Components
Idexx Laboratories,IDXX,Health Care,Health Care Equipment
Illinois Tool Works,ITW,Industrials,Industrial Machinery & Supplies & Components
Incyte,INCY,Health Care,Biotechnology
Informatica,INFA,Information Technology,
Ingredion,INGR,Consumer Staples,Agricultural Products & Services
Insulet,PODD,Health Care,
Integra Lifesciences,IART,Health Care,
Interactive Brokers,IBKR,Financials,Investment Banking & Brokerage
Intercontinental Exchange,ICE,Financials,Financial Exchanges & Data
International Flavors & Fragrances,IFF,Materials,Specialty Chemicals
International Paper,IP,Materials,Paper & Plastic Packaging Products & Materials
Intuit,INTU,Information Technology,Application Software
Invesco,IVZ,Financials,Asset Management & Custody Banks
Invitation Homes,INVH,Real Estate,
IPG,IPG,Communication Services,Advertising
Iron Mountain,IRM,Real Estate,Other Specialized REITs
Jacobs,J,Industrials,Construction & Engineering
Jamf,JAMF,Information Technology,
Janus Henderson,JHG,Financials,Asset Management & Custody Banks
Jazz Pharmaceuticals,JAZZ,Health Care,Pharmaceuticals
J. B. Hunt,JBHT,Industrials,Cargo Ground Transportation
JBG Smith,JBGS,Real Estate,Office REITs
Jefferies,JEF,Financials,Multi-Sector Holdings
Johnson & Johnson,JNJ,Health Care,Pharmaceuticals
Johnson Controls,JCI,Industrials,Building Products
JLL,JLL,Real Estate,Real Estate Services
JPMorgan Chase,JPM,Financials,Diversified Banks
Juniper Networks,JNPR,Information Technology,Communications Equipment
Kellogg's,K,Consumer Staples,Packaged Foods & Meats
Kemper,KMPR,Financials,Multi-line Insurance
Keurig Dr Pepper,KDP,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Keysight,KEYS,Information Technology,Electronic Equipment & Instruments
Kilroy Realty,KRC,Real Estate,
Kimberly-Clark,KMB,Consumer Staples,Household Products
Kimco Realty,KIM,Real Estate,Retail REITs
Kirby,KEX,Industrials,Marine
KLA,KLAC,Information Technology,Semiconductor Materials & Equipment
Knife River Corporation,KNF,Materials,Construction Materials
Knight-Swift,KNX,Industrials,Cargo Ground Transportation
Kohl's,KSS,Consumer Discretionary,General Merchandise Stores
Kroger,KR,Consumer Staples,Food Retail
Kyndryl,KD,Information Technology,IT Consulting & Other Services
L3Harris,LHX,Industrials,Aerospace & Defense
Labcorp,LH,Health Care,Health Care Services
Lam Research,LRCX,Information Technology,Semiconductor Materials & Equipment
Lamar Advertising,LAMR,Real Estate,Other Specialized REITs
Lamb Weston,LW,Consumer Staples,Packaged Foods & Meats
Landstar,LSTR,Industrials,Cargo Ground Transportation
Las Vegas Sands,LVS,Consumer Discretionary,Casinos & Gaming
Lattice Semiconductor,LSCC,Information Technology,Semiconductors
Lazard,LAZ,Financials,
Lear,LEA,Consumer Discretionary,Automotive Parts & Equipment
Leggett & Platt,LEG,Consumer Discretionary,Home Furnishings
Leidos,LDOS,Industrials,Diversified Support Services
Leslie's,LESL,Consumer Discretionary,
Liberty Broadband (Series A),LBRDA,Communication Services,
Liberty Broadband (Series C),LBRDK,Communication Services,
Liberty SiriusXM (Series A),LSXMA,Communication Services,
Liberty SiriusXM (Series C),LSXMK,Communication Services,
Life Storage,LSI,Real Estate,Self-Storage REITs
Lincoln Financial,LNC,Financials,Multi-line Insurance
Linde,LIN,Materials,Industrial Gases
Littelfuse,LFUS,Information Technology,Electronic Components
LKQ,LKQ,Consumer Discretionary,Distributors
Lockheed Martin,LMT,Industrials,Aerospace & Defense
Loews Corporation,L,Financials,Multi-line Insurance
Lowe's,LOW,Consumer Discretionary,Home Improvement Retail
LPL Financial,LPLA,Financials,
Lululemon,LULU,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Lumen,LUMN,Communication Services,Alternative Carriers
Lumentum,LITE,Information Technology,
Lyft,LYFT,Industrials,Passenger Ground Transportation
LyondellBasell,LYB,Materials,Specialty Chemicals
Madison Square Garden Sports,MSGS,Communication Services,
ManpowerGroup,MAN,Industrials,Human Resource & Employment Services
Marathon Petroleum,MPC,Energy,Oil & Gas Refining & Marketing
Maravai LifeSciences,MRVI,Health Care,
Markel,MKL,Financials,
MarketAxess,MKTX,Financials,Financial Exchanges & Data
Marriott International,MAR,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Marvell,MRVL,Information Technology,Application Software
Masco,MAS,Industrials,Building Products
Masimo,MASI,Health Care,Health Care Equipment
MasterBrand,MBC,Industrials,Building Products
Mastercard,MA,Financials,Transaction & Payment Processing Services
Match Group,MTCH,Communication Services,Interactive Media & Services
Mattel,MAT,Consumer Discretionary,Leisure Products
McDonald's,MCD,Consumer Discretionary,Restaurants
MDU Resources,MDU,Utilities,Multi-Utilities
Medical Properties Trust,MPW,Real Estate,Health Care REITs
Medtronic,MDT,Health Care,Health Care Equipment
Merck,MRK,Health Care,Pharmaceuticals
Metlife,MET,Financials,Life & Health Insurance
Mettler Toledo,MTD,Health Care,Life Sciences Tools & Services
MGIC,MTG,Financials,Reinsurance
MGM Resorts International,MGM,Consumer Discretionary,Casinos & Gaming
Microchip,MCHP,Information Technology,Semiconductors
Micron,MU,Information Technology,Semiconductors
Mid-America Apartments,MAA,Real Estate,Residential REITs
Middleby,MIDD,Industrials,Industrial Machinery & Supplies & Components
Mirati Therapeutics,MRTX,Health Care,
Mister Car Wash,MCW,Consumer Discretionary,
Mohawk Industries,MHK,Consumer Discretionary,Home Furnishings
Molina Healthcare,MOH,Health Care,Managed Health Care
Mondelez International,MDLZ,Consumer Staples,Packaged Foods & Meats
Monolithic Power Systems,MPWR,Information Technology,Semiconductors
Mosaic,MOS,Materials,Fertilizers & Agricultural Chemicals
Motorola Solutions,MSI,Information Technology,Communications Equipment
MP Materials,MP,Materials,Diversified Metals & Mining
MSCI,MSCI,Financials,Financial Exchanges & Data
Natera,NTRA,Health Care,
National Instruments,NATI,Information Technology,Electronic Equipment & Instruments
National Retail Properties,NNN,Real Estate,Retail REITs
National Storage Affiliates,NSA,Real Estate,
nCino,NCNO,Information Technology,
NCR,NCR,Information Technology,IT Consulting & Other Services
Neurocrine,NBIX,Health Care,Biotechnology
New Relic,NEWR,Information Technology,
New York Community Bank,NYCB,Financials,Thrifts & Mortgage Finance
New York Times Company,NYT,Communication Services,Publishing
Newell Brands,NWL,Consumer Discretionary,Housewares & Specialties
NewMarket,NEU,Materials,Specialty Chemicals
Newmont,NEM,Materials,Gold
News Corp (Class A),NWSA,Communication Services,Publishing
News Corp (Class B),NWS,Communication Services,Publishing
NextEra Energy,NEE,Utilities,Multi-Utilities
Nike,NKE,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
NiSource,NI,Utilities,Multi-Utilities
Nordstrom,JWN,Consumer Discretionary,Department Stores
Norfolk Southern,NSC,Industrials,Rail Transportation
Northern Trust,NTRS,Financials,Asset Management & Custody Banks
Northrop Grumman,NOC,Industrials,Aerospace & Defense
Nov,NOV,Energy,Oil & Gas Equipment & Services
Novocure,NVCR,Health Care,
NRG Energy,NRG,Utilities,Independent Power Producers & Energy Traders
Nutanix,NTNX,Information Technology,
Oak Street Health,OSH,Health Care,
O'Reilly Auto Parts,ORLY,Consumer Discretionary,Specialty Stores
OG&E,OGE,Utilities,Multi-Utilities
Okta,OKTA,Information Technology,Application Software
Olaplex,OLPX,Consumer Staples,
Omnicom,OMC,Communication Services,Advertising
ON Semiconductor,ON,Information Technology,Semiconductors
OneMain Financial,OMF,Financials,
Oneok,OKE,Energy,Oil & Gas Storage & Transportation
Organon,OGN,Health Care,Pharmaceuticals
Oshkosh,OSK,Industrials,Construction Machinery & Heavy Transportation Equipment
Otis,OTIS,Industrials,Industrial Machinery & Supplies & Components
Ovintiv,OVV,Energy,
Packaging Corporation of America,PKG,Materials,Paper & Plastic Packaging Products & Materials
Pacwest Bancorp,PACW,Financials,Regional Banks
Paramount (Class A),PARAA,Communication Services,Movies & Entertainment
Paramount (Class B),PARA,Communication Services,Movies & Entertainment
Park Hotels & Resorts,PK,Real Estate,Hotel & Resort REITs
Paychex,PAYX,Industrials,Human Resource & Employment Services
Paycom,PAYC,Information Technology,Application Software
Paycor,PYCR,Information Technology,
Paylocity,PCTY,Information Technology,Application Software
PayPal,PYPL,Financials,Transaction & Payment Processing Services
Pegasystems,PEGA,Information Technology,
Peloton,PTON,Consumer Discretionary,
Penn Entertainment,PENN,Consumer Discretionary,Casinos & Gaming
PepsiCo,PEP,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Performance Food Group,PFGC,Consumer Staples,Food Distributors
Perrigo,PRGO,Health Care,Pharmaceuticals
Petco,WOOF,Consumer Discretionary,
PG&E,PCG,Utilities,
Philip Morris International,PM,Consumer Staples,Tobacco
Pinnacle Financial Partners,PNFP,Financials,Regional Banks
Pinterest,PINS,Communication Services,
Pioneer Natural Resources,PXD,Energy,Oil & Gas Exploration & Production
Planet Fitness,PLNT,Consumer Discretionary,
Playtika,PLTK,Communication Services,
Plug Power,PLUG,Industrials,
PNC Financial Services,PNC,Financials,Regional Banks
Pool Corporation,POOL,Consumer Discretionary,Distributors
Popular,BPOP,Financials,
Post Holdings,POST,Consumer Staples,Packaged Foods & Meats
PPG Industries,PPG,Materials,Specialty Chemicals
PPL,PPL,Utilities,Electric Utilities
Premier,PINC,Health Care,
T. Rowe Price,TROW,Financials,Asset Management & Custody Banks
Primerica,PRI,Financials,Life & Health Insurance
Principal,PFG,Financials,Life & Health Insurance
Procter & Gamble,PG,Consumer Staples,Personal Care Products
Progressive,PGR,Financials,Property & Casualty Insurance
Prologis,PLD,Real Estate,Industrial REITs
Prudential,PRU,Financials,Life & Health Insurance
Public Storage,PSA,Real Estate,Self-Storage REITs
PSEG,PEG,Utilities,Electric Utilities
PVH,PVH,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Qiagen,QGEN,Health Care,
Qorvo,QRVO,Information Technology,Semiconductors
Qualcomm,QCOM,Information Technology,Semiconductors
QuantumScape,QS,Consumer Discretionary,
Quest Diagnostics,DGX,Health Care,Health Care Services
Ralph Lauren,RL,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Range Resources,RRC,Energy,Oil & Gas Exploration & Production
Raymond James,RJF,Financials,Investment Banking & Brokerage
Raytheon Technologies,RTX,Industrials,Aerospace & Defense
Realty Income,O,Real Estate,Retail REITs
Regency Centers,REG,Real Estate,Retail REITs
Regions,RF,Financials,Regional Banks
Reinsurance Group of America,RGA,Financials,Reinsurance
RenaissanceRe,RNR,Financials,Reinsurance
Resmed,RMD,Health Care,Health Care Equipment
Revvity,RVTY,Health Care,Health Care Equipment
Rexford Industrial,REXR,Real Estate,
Reynolds Consumer Products,REYN,Consumer Staples,
RingCentral,RNG,Information Technology,
Ritchie Bros. Auctioneers,RBA,Industrials,
Rivian,RIVN,Consumer Discretionary,
Robert Half,RHI,Industrials,Human Resource & Employment Services
Robinhood,HOOD,Financials,
Roblox,RBLX,Communication Services,
Rocket Companies,RKT,Financials,
Roku,ROKU,Communication Services,
Rollins,ROL,Industrials,Environmental & Facilities Services
Ross,ROST,Consumer Discretionary,Apparel Retail
RPM International,RPM,Materials,Specialty Chemicals
Ryan Specialty,RYAN,Financials,
Ryder,R,Industrials,Cargo Ground Transportation
Salesforce,CRM,Information Technology,Application Software
Sallie Mae,SLM,Financials,Consumer Finance
Sarepta Therapeutics,SRPT,Health Care,
SBA Communications,SBAC,Real Estate,Telecom Tower REITs
Henry Schein,HSIC,Health Care,Health Care Distributors
Schlumberger,SLB,Energy,Oil & Gas Equipment & Services
Scotts Miracle-Gro Company,SMG,Materials,Fertilizers & Agricultural Chemicals
Sealed Air,SEE,Materials,Paper & Plastic Packaging Products & Materials
SEI Investments Company,SEIC,Financials,Asset Management & Custody Banks
Sempra,SRE,Utilities,Multi-Utilities
Sensata Technologies,ST,Industrials,
SentinelOne,S,Information Technology,
Service Corporation International,SCI,Consumer Discretionary,Specialized Consumer Services
Silgan Holdings,SLGN,Materials,"Metal, Glass & Plastic Containers"
Simon,SPG,Real Estate,Retail REITs
Sirius XM,SIRI,Communication Services,Broadcasting
Six Flags,SIX,Consumer Discretionary,Leisure Facilities
Skechers,SKX,Consumer Discretionary,Footwear
Skyworks,SWKS,Information Technology,Semiconductors
SL Green Realty,SLG,Real Estate,Office REITs
A. O. Smith,AOS,Industrials,Building Products
Sonoco,SON,Materials,Paper & Plastic Packaging Products & Materials
Southern Company,SO,Utilities,Electric Utilities
Southern Copper,SCCO,Materials,
Southwestern Energy,SWN,Energy,Oil & Gas Exploration & Production
Spirit Aerosystems,SPR,Industrials,
Spirit Realty Capital,SRC,Real Estate,
SS&C Technologies,SSNC,Information Technology,
Stanley Black & Decker,SWK,Industrials,Industrial Machinery & Supplies & Components
Starbucks,SBUX,Consumer Discretionary,Restaurants
Starwood Property Trust,STWD,Financials,
State Street,STT,Financials,Asset Management & Custody Banks
Steel Dynamics,STLD,Materials,Steel
Stericycle,SRCL,Industrials,Environmental & Facilities Services
Stifel,SF,Financials,Investment Banking & Brokerage
Sun Communities,SUI,Real Estate,
Sunrun,RUN,Industrials,Building Products
Synchrony,SYF,Financials,Consumer Finance
Syneos Health,SYNH,Health Care,Life Sciences Tools & Services
Synovus,SNV,Financials,Regional Banks
Sysco,SYY,Consumer Staples,Food Distributors
T-Mobile,TMUS,Communication Services,Wireless Telecommunication Services
Tandem Diabetes Care,TNDM,Health Care,Health Care Equipment
Tapestry,TPR,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Targa Resources,TRGP,Energy,Oil & Gas Storage & Transportation
Target,TGT,Consumer Staples,Consumer Staples Merchandise Retail
TD Synnex,SNX,Information Technology,Technology Distributors
Teladoc Health,TDOC,Health Care,
Teledyne,TDY,Industrials,Aerospace & Defense
Teleflex,TFX,Health Care,Health Care Equipment
Tempur Sealy International,TPX,Consumer Discretionary,Home Furnishings
Tenet Health,THC,Health Care,Health Care Facilities
Texas Instruments,TXN,Information Technology,Semiconductors
Textron,TXT,Industrials,Aerospace & Defense
Thermo Fisher Scientific,TMO,Health Care,Life Sciences Tools & Services
Third Federal S&L,TFSL,Financials,
Toast,TOST,Information Technology,
Toro,TTC,Industrials,Agricultural & Farm Machinery
Tractor Supply,TSCO,Consumer Discretionary,Specialty Stores
Tradeweb,TW,Financials,
Trane Technologies,TT,Industrials,Building Products
Travel + Leisure,TNL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Trimble,TRMB,Information Technology,Electronic Equipment & Instruments
Tripadvisor,TRIP,Communication Services,Interactive Media & Services
Truist,TFC,Financials,Regional Banks
Twilio,TWLO,Information Technology,
Tyson,TSN,Consumer Staples,Packaged Foods & Meats
U-Haul,UHAL,Industrials,
U-Haul (Series N),UHAL.B,Industrials,
U.S. Steel,X,Materials,Steel
Ubiquiti,UI,Information Technology,
UDR,UDR,Real Estate,Residential REITs
UGI Corporation,UGI,Utilities,Gas Utilities
Ulta Beauty,ULTA,Consumer Discretionary,Specialty Stores
Under Armour (Class A),UAA,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
